timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745457.101521,CREATED,b3520ea1-98bb-4aa7-998f-adac6691d11d,a2531fa0-e6c3-4526-8e1c-1c0d63dadd60,c2,DROP,27,?,?,
1769745457.135274,SENT,3dfc8bb8-7c59-4c5c-aa74-af25d54981e2,b2c03ab7-28f2-48d3-9442-4696ee903206,c2,DROP,2037,?,p2,
1769745457.1353884,CREATED,8f3cbdeb-4451-416f-abc7-d5c92fc26c1a,58bd6101-08d6-4da6-be96-e5ae147ada6e,c2,DROP,27,?,?,
1769745457.3164124,SENT,f4d0fee9-7af8-405c-b2d9-5de1d05386d4,eea4cf9f-6f6a-4b8d-a6f8-4ae2a0bda322,c2,DROP,2036,?,p2,
1769745457.3165305,CREATED,338ea20c-c541-4a43-a195-12536b348779,0d5d17ab-dcdf-47a2-a0a9-ad97b9ec09e0,c2,DROP,27,?,?,
1769745457.344762,RECEIVED,de676b28-9287-43e9-ac5c-c321e05fe1f6,ea706c38-c868-4a33-911c-65cd6afedafd,c3,c2,27,p2,?,surb={'id': 'fc6138c8-f53e-4eb4-87df-df3ad1ab3aaa', 'route': ['p2', 'e3', 'i10', 'x2', 'p3', 'c3']}
1769745457.393655,SENT,9fe8b17e-4d90-43e0-81dd-ed348d202fa8,0bf6791b-7633-42e9-ad89-573c5178228f,c2,DROP,2028,?,p2,
1769745457.3937683,CREATED,5e805d90-df45-4ce2-8466-ac1b98a6d77f,e9447d1f-444b-4b42-95f2-746546729005,c2,DROP,27,?,?,
1769745457.4622872,RECEIVED,a4917a1c-4023-468e-8473-5c5e11d7f95a,92cb878e-b617-424f-aa06-907c62f6c63e,c4,c2,27,p2,?,surb={'id': 'a5b60ef3-3a36-473b-943a-c234cde01f01', 'route': ['p2', 'e9', 'i3', 'x3', 'p1', 'c4']}
1769745457.5481849,SENT,791596e4-bdec-46a7-879f-c23630c42d41,66a0346a-b4b9-4dd2-b23e-57016b7775e3,c2,DROP,2039,?,p2,
1769745457.5483148,CREATED,9ea6f336-b653-4b0b-9b54-9b06aa8da372,00fccb14-1e3a-4f04-be49-2905565df765,c2,DROP,27,?,?,
1769745457.6538692,SENT,c830e648-4f44-4f16-b2be-f9730bd9dfb1,6673bf00-7c0e-4cae-adb2-405daa76007f,c2,DROP,2015,?,p2,
1769745457.6540062,CREATED,87710834-adaf-48e6-909c-ad2711ca6cfb,fa8cd43d-78ca-4b49-8200-73e50fc4adb9,c2,DROP,25,?,?,
1769745457.7408738,RECEIVED,62997e5b-6696-4493-93f4-1f10c8c1fd0a,f12c1183-9102-43d3-b601-11288b26cbd2,c4,c2,27,p2,?,surb={'id': '97596afa-5c03-4d5a-b088-10e48e52ef94', 'route': ['p2', 'e1', 'i5', 'x2', 'p1', 'c4']}
1769745457.7922227,RECEIVED,c60f9414-7327-4163-aa9d-488c5cf1a08c,73964ed4-f9f7-4429-b9ca-e210550dcd97,c3,c2,26,p2,?,surb={'id': '8cce668c-019d-4989-abe4-74f9937934e2', 'route': ['p2', 'e6', 'i6', 'x11', 'p3', 'c3']}
