timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759027.7613542,RECEIVED,5356c29c-6609-4808-bd06-c3ea0a4a1ab8,308a63df-18b6-4cab-860c-1829504e0dfc,c1,c5,27,p2,?,surb={'id': '6c95ed29-2b6d-490f-8704-c4f306ded612', 'route': ['p2', 'e8', 'i2', 'x3', 'p1', 'c1']}
1769759028.1787045,RECEIVED,a46d8baa-ace3-4584-8a0d-08aa547bb3ac,308a63df-18b6-4cab-860c-1829504e0dfc,c1,c5,27,p2,?,surb={'id': '6c95ed29-2b6d-490f-8704-c4f306ded612', 'route': ['p2', 'e8', 'i2', 'x3', 'p1', 'c1']}
1769759028.264205,SENT,a3541e92-055e-4368-ba3c-f045e623c757,e0882801-cb14-429f-bd90-d920c8f18634,c5,c3,3380,?,p2,
1769759028.2643557,CREATED,31ccf680-d590-49dc-97cd-24b7f785c2b2,a6523209-e854-47c2-843f-af191eaff948,c5,c3,27,?,?,surb={'id': '2e256b2e-5781-4019-93c6-e0785cf64561', 'route': ['p3', 'e6', 'i1', 'x4', 'p2', 'c5']}
1769759028.3113222,SENT,40f3cf0b-1de3-443c-8ba4-5b4b42422312,efb729fe-434a-47d3-b9bb-04810be475d3,c5,c3,3360,?,p2,
1769759028.311455,CREATED,24ae3719-d17c-49c6-86a7-c4a7eb312fc6,a6523209-e854-47c2-843f-af191eaff948,c5,c3,27,?,?,surb={'id': '2e256b2e-5781-4019-93c6-e0785cf64561', 'route': ['p3', 'e6', 'i1', 'x4', 'p2', 'c5']}
1769759028.3341775,RECEIVED,1d3938f8-d7ac-4a8d-ae9d-86dc1d32f7a9,89451ef3-3115-478c-ad17-b60307c05fa0,c3,c5,27,p2,?,surb={'id': '5e9e340d-f48d-4ce3-b70d-032b00e3f54a', 'route': ['p2', 'e8', 'i2', 'x11', 'p3', 'c3']}
1769759028.502881,RECEIVED,5dfa891a-a9a3-444d-bb8b-6b6a353d4a2e,e3b110d7-0ef9-46a3-b6b2-ffe994b9b0b2,c3,c5,26,p2,?,surb={'id': 'e68657cf-404a-44cb-82a2-cfd0ef6edffe', 'route': ['p2', 'e12', 'i10', 'x4', 'p3', 'c3']}
1769759028.6816015,RECEIVED,25698064-1333-427d-895d-69e3862430e6,89451ef3-3115-478c-ad17-b60307c05fa0,c3,c5,27,p2,?,surb={'id': '5e9e340d-f48d-4ce3-b70d-032b00e3f54a', 'route': ['p2', 'e8', 'i2', 'x11', 'p3', 'c3']}
1769759028.739138,SENT,19460b2e-f325-4854-b374-42d670f4a433,ead935bd-e523-4cc7-97f8-b777b87595aa,c5,c3,3387,?,p2,
1769759028.739277,CREATED,c22b070d-0e6d-4877-a4f2-06c8e1e2f1ee,b8dbbe1b-de23-4471-8ec1-8be04f863703,c5,c3,27,?,?,surb={'id': '6255d9d4-8b16-4e25-b891-a0523eb2726e', 'route': ['p3', 'e10', 'i3', 'x11', 'p2', 'c5']}
1769759028.8859973,RECEIVED,ac08e912-ac3a-4bd5-a9b4-93874955800f,41c2f87c-207b-4a60-817d-4943ad575e33,c1,c5,27,p2,?,surb={'id': 'db4a6031-7c82-455b-836e-ae33c2fb5456', 'route': ['p2', 'e7', 'i12', 'x8', 'p1', 'c1']}
1769759028.9482844,RECEIVED,016b26bf-e215-4597-8ea1-58ca5a17c472,8cca735e-3259-420b-b8f4-07c467530b59,c1,c5,27,p2,?,surb={'id': 'c34f27dc-393a-41aa-8dd6-a98d6a5b1d82', 'route': ['p2', 'e9', 'i12', 'x11', 'p1', 'c1']}
1769759029.123424,RECEIVED,b3a90c63-805e-4f6f-9b53-400fcde4f40b,197571e8-934f-4b23-bb57-6b8ec864f0f0,c1,c5,26,p2,?,surb={'id': '2c9fa28a-b782-4cc8-a9fd-dfd07beb7a18', 'route': ['p2', 'e8', 'i3', 'x11', 'p1', 'c1']}
1769759029.2881546,RECEIVED,b6a12220-09a3-41d9-9bad-408a5b71a995,8cca735e-3259-420b-b8f4-07c467530b59,c1,c5,27,p2,?,surb={'id': 'c34f27dc-393a-41aa-8dd6-a98d6a5b1d82', 'route': ['p2', 'e9', 'i12', 'x11', 'p1', 'c1']}
