timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769487688.9177437,CREATED,8e75916b-5c33-4665-b986-51842240204a,8f25456f-ba52-4351-b76c-b7471f4a3b22,c1,c5,27,?,?,surb={'id': 'd7e7cc9e-f2b5-42b8-8edb-f00ff3f95479', 'route': ['p2', 'e5', 'i12', 'x4', 'p1', 'c1']}
1769487688.9597042,SENT,a0131ddb-e434-49bb-bc2f-387d773e6c66,fd780ce1-bcbe-4b0d-a7fd-b3fab5c04500,c1,c5,3377,?,p1,
1769487688.96009,CREATED,904341c3-72db-43ad-aca9-d2cabf22ad89,2315b096-0036-495d-a9ff-f78d1006243d,c1,c5,27,?,?,surb={'id': '5abf3290-5ae1-4658-a666-5076a8518aab', 'route': ['p2', 'e6', 'i1', 'x2', 'p1', 'c1']}
1769487689.0935314,SENT,9d774415-d1b3-46ea-96ee-f92884bf3b0d,2f65bcb8-9bf5-4937-acdd-f2fde95f7df4,c1,c5,3392,?,p1,
1769487689.0936832,CREATED,73cf6e80-efa1-41c8-9a47-bfcf0d26c45f,4ff148e4-dfef-4e17-8369-da388803b573,c1,c5,27,?,?,surb={'id': '46a08a1d-c19c-475e-9c8a-db723f13ffed', 'route': ['p2', 'e11', 'i11', 'x3', 'p1', 'c1']}
1769487689.1084833,RECEIVED,f719e4b4-07de-493c-87a7-118cbd564edd,476d7de3-8958-41e5-b6f5-1426a37d46c9,c2,c1,26,p1,?,surb={'id': '1f1b728e-04ab-4824-8b68-7986df26a43a', 'route': ['p1', 'e7', 'i5', 'x10', 'p2', 'c2']}
1769487689.2033205,RECEIVED,7a3d9967-2980-439f-a52d-bfe1dd0e874f,9f4e553e-3d0c-4bbe-8e13-bbc3bda3ba20,c2,c1,26,p1,?,surb={'id': 'f0daa33b-0278-4d58-a532-8cd15cbd2282', 'route': ['p1', 'e12', 'i10', 'x8', 'p2', 'c2']}
1769487689.320676,SENT,62c499ac-9b56-4d0f-b3b6-94167d6bc8b4,e2b84a76-584c-486a-96db-c04c5495b3d9,c1,c5,3388,?,p1,
1769487689.320816,CREATED,d8897d03-0f95-405a-8d9b-9a9c842802f5,2b7f73d7-15bb-4521-9c89-964c93d34c4b,c1,c5,27,?,?,surb={'id': '350454b6-6f01-47d3-8e16-92922fc8477a', 'route': ['p2', 'e7', 'i12', 'x10', 'p1', 'c1']}
1769487689.455887,SENT,d6974eaf-4bd6-4423-8cdd-33631a60b6f7,6d45ecd3-23df-470f-aca0-e46c73557f91,c1,c5,3391,?,p1,
1769487689.4560914,CREATED,1348f7cb-118b-4cb9-a6d3-d3da769519ad,033c5144-a696-4ce5-afe8-21358d2a3f9f,c1,c5,27,?,?,surb={'id': 'f489c40c-28f1-4bcc-a34b-20f1979f9550', 'route': ['p2', 'e6', 'i7', 'x12', 'p1', 'c1']}
1769487689.5761251,SENT,72b7f7d9-6dff-415f-9671-8dae0eb08ef5,2097732f-7da8-47cf-b7c2-d664ac1cad86,c1,c5,3396,?,p1,
