timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734979.2941232,RECEIVED,772ed31e-5ee6-4ae2-ad1d-8fef8cd76d6f,166fdfc5-6374-45a1-add6-483444376abf,c3,c2,27,p2,?,surb={'id': '36145363-b7d6-49a2-a9c2-18e4cf7c525c', 'route': ['p2', 'e5', 'i5', 'x5', 'p3', 'c3']}
1769734979.4471884,RECEIVED,3d1c6484-477c-45d0-839a-6683426820ef,2c2f5a34-5245-4436-b5ba-e2db7c810cba,c3,c2,27,p2,?,surb={'id': '0abe8ba9-40a0-4657-a9c0-9fe1ded02d57', 'route': ['p2', 'e6', 'i11', 'x7', 'p3', 'c3']}
1769734979.6638327,SENT,cb5bbe40-1446-494d-acc5-e6179cca68f6,4ea5a359-061c-49d0-9525-0852e5c63f02,c2,c3,3387,?,p2,
1769734979.6639657,CREATED,17e8e196-a6a7-4e2f-88a0-349a509f4edd,9a90584e-f6cc-4212-ada0-5e2957e5d86a,c2,c3,26,?,?,surb={'id': '9237cd0c-4b64-49ff-86a5-97a6cad25631', 'route': ['p3', 'e4', 'i2', 'x10', 'p2', 'c2']}
1769734979.7644608,SENT,84744695-40ea-46c1-8448-e2337f61fb21,feeb9530-6599-4810-941b-b5e122ffa962,c2,c3,3406,?,p2,
1769734979.7645926,CREATED,93df2f3b-a9f9-4a37-8aa8-62164623110a,647df150-7db4-47d9-9b13-5f6fd70906e5,c2,c3,26,?,?,surb={'id': '463e742a-6d4b-473b-bef1-f10f7580c5be', 'route': ['p3', 'e8', 'i6', 'x10', 'p2', 'c2']}
1769734979.9523797,RECEIVED,60f3e9a0-70c5-464f-9e0a-d0d9e4b13339,4a411fac-74e7-4241-972c-ebf8de3af1de,c3,c2,26,p2,?,surb={'id': '92b572cc-54d7-45c8-953b-43a55a163986', 'route': ['p2', 'e8', 'i12', 'x8', 'p3', 'c3']}
1769734980.2977195,SENT,631e8c3c-f2de-4392-9410-0705fcc9e10b,db5b10cf-6624-4446-969d-0cde8b16c338,c2,c3,3375,?,p2,
1769734980.2978508,CREATED,3b943fc2-b9ca-420b-9c03-81463737c095,bef270b6-ddd5-4ad2-9382-a08426200794,c2,c3,27,?,?,surb={'id': '85fccbc7-cb12-463a-8b03-5cc74cfb7870', 'route': ['p3', 'e9', 'i2', 'x6', 'p2', 'c2']}
1769734980.305867,RECEIVED,47b9fcd4-2dcb-4b7c-aad3-33d8d952ba5f,418b6080-6b71-4470-9683-585119e3283d,c3,c2,27,p2,?,surb={'id': 'fc781332-0121-41a9-ae8e-05a839b6f77d', 'route': ['p2', 'e5', 'i12', 'x5', 'p3', 'c3']}
1769734980.3228483,SENT,93c12f9d-5666-414d-8c77-1d8f30b9611c,5ce3600a-98ee-46d9-8b24-ea3340c41ad7,c2,c3,3372,?,p2,
1769734980.3229802,CREATED,befc0788-da7d-409a-922c-f54236400e19,8c22e30c-c915-4c77-a131-b8e73bd8c91c,c2,c3,27,?,?,surb={'id': 'ce8c03a8-64e7-442d-b7af-d2ce22db359f', 'route': ['p3', 'e4', 'i3', 'x8', 'p2', 'c2']}
