timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760265.293838,RECEIVED,0959d316-67c5-4ee9-8ee3-0f44dcf7a234,e9ef0a31-ca76-4bb5-82b6-893ce5ed5d16,c3,c1,27,p1,?,surb={'id': '5f28c709-ed3a-40b9-897e-9bc4c3dcb41a', 'route': ['p1', 'e10', 'i6', 'x7', 'p3', 'c3']}
1769760265.5102766,RECEIVED,eed913a8-b979-4d87-b379-6db5dc7830f2,7c416942-e559-421e-8514-217866b8e835,c4,c1,27,p1,?,surb={'id': 'fc8874a1-ce87-4ff9-8eab-5a238c97fa0e', 'route': ['p1', 'e5', 'i1', 'x12', 'p1', 'c4']}
1769760265.6900644,SENT,8c0f10eb-2d18-4362-b205-40f70c88a088,098a5558-e821-4e81-82fb-5720a5741ab1,c1,c5,3385,?,p1,
1769760265.6902158,CREATED,97d50f49-6652-4b67-b22a-5050a6c8a0d1,7bf25ed3-cfaa-4336-97f1-b63e9128586d,c1,c5,27,?,?,surb={'id': 'b2c5884b-7c7a-4fc1-8d07-b8abc4867264', 'route': ['p2', 'e12', 'i10', 'x4', 'p1', 'c1']}
1769760265.698234,RECEIVED,69e30737-ee33-4e98-908a-dec291908705,df1cdd16-86a0-4fed-9e3f-ab20dacfe6b6,c3,c1,27,p1,?,surb={'id': '07c2605f-9766-4e10-94d6-617ccdfcd592', 'route': ['p1', 'e12', 'i1', 'x8', 'p3', 'c3']}
1769760266.0532637,SENT,7f02ac34-6577-4b9e-9f05-7253a44cdc66,5cff3b19-dbf0-4122-b337-8879c9c0516a,c1,c5,3376,?,p1,
1769760266.0534058,CREATED,55f3ef6c-e1f9-4694-b56c-55919705d8d9,5d6ee4f0-b50d-43d7-8d4d-5de30b65e528,c1,c5,27,?,?,surb={'id': '99b9328b-f49a-4610-b9ab-77f95917c768', 'route': ['p2', 'e6', 'i4', 'x5', 'p1', 'c1']}
1769760266.0827181,RECEIVED,e6ba4d8e-d279-4369-8bb6-358505a46d3b,c0b977d8-de9d-46da-924c-f166da34c743,c3,c1,27,p1,?,surb={'id': '7de805fd-0017-449d-a6c1-b92600544ddd', 'route': ['p1', 'e3', 'i5', 'x11', 'p3', 'c3']}
1769760266.249932,SENT,28989349-6127-4ff5-b9b6-1d67b2339dd2,d97d59c8-dfc6-4f55-9a87-32c139aa744e,c1,c5,3397,?,p1,
1769760266.250108,CREATED,2e5e7497-7220-4c3c-8096-311627622495,7e8c9e86-06fb-4a71-a5b2-75bf21f2282c,c1,c5,26,?,?,surb={'id': '88a676cd-40b5-4066-b497-99ae178515bf', 'route': ['p2', 'e6', 'i10', 'x11', 'p1', 'c1']}
1769760266.3458283,SENT,c3088e64-ffa0-4c29-a262-a3b802f35a95,07bd39a9-d618-4618-8447-3fa4187dff53,c1,c5,3385,?,p1,
1769760266.3459735,CREATED,03ef349a-380a-423d-a499-f1ebd90972dd,1824dbb2-232e-4d98-8013-3c1a19cc6527,c1,c5,27,?,?,surb={'id': '30d2a517-d301-4dbd-b1fb-d1c437ce9fbc', 'route': ['p2', 'e9', 'i1', 'x6', 'p1', 'c1']}
