timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393814.8488727,CREATED,1a81ece8-c45c-4f5c-a371-a47b3a57b670,9c5849fb-e431-4986-ba50-ba63e514ae2d,c5,c2,27,?,?,surb={'id': 'd7bb6139-efef-4b37-9006-25cf5ed1f8d8', 'route': ['p2', 'e12', 'i7', 'x11', 'p2', 'c5']}
1769393814.9511673,RECEIVED,0c13e285-ee34-4b20-ab0a-387e1dd258f0,d074f077-1462-46a8-892d-8c0949e8e18a,c2,c5,27,p2,?,surb={'id': '2d1b6cfc-7083-43e0-8378-e62a86aa8f01', 'route': ['p2', 'e5', 'i10', 'x2', 'p2', 'c2']}
1769393815.1167517,SENT,fc7c9b8e-0778-4d23-96bc-695f834bb908,add53e43-14ca-4669-aa6e-018fc8842a0d,c5,c2,3381,?,p2,
1769393815.1168892,CREATED,a780aa47-8700-4549-b2df-27cb8ee405d2,9c5849fb-e431-4986-ba50-ba63e514ae2d,c5,c2,27,?,?,surb={'id': 'd7bb6139-efef-4b37-9006-25cf5ed1f8d8', 'route': ['p2', 'e12', 'i7', 'x11', 'p2', 'c5']}
1769393815.1228666,RECEIVED,b1316988-168f-4bd3-83fa-781863ac9393,34d4ac35-617a-4300-b19b-fa337e9bf749,c2,c5,27,p2,?,surb={'id': 'b106b073-af91-45b4-89db-4d06f620a0fa', 'route': ['p2', 'e12', 'i9', 'x5', 'p2', 'c2']}
1769393815.250818,SENT,11a201d2-49be-489f-b013-56c3e732c96d,7a1d97f1-d855-4e84-9c6d-68ccd32b64e7,c5,c2,3355,?,p2,
1769393815.2508883,CREATED,c6d832fc-f08e-4524-9b2a-a259c31bd21c,c31e82bc-d038-4069-9385-954442a4a177,c5,c2,25,?,?,surb={'id': '12336927-9e09-46af-b1e9-63321a344dc7', 'route': ['p2', 'e8', 'i10', 'x1', 'p2', 'c5']}
1769393815.3532135,RECEIVED,ba6d2de9-d055-4056-afef-6234084a0916,34d4ac35-617a-4300-b19b-fa337e9bf749,c2,c5,27,p2,?,surb={'id': 'b106b073-af91-45b4-89db-4d06f620a0fa', 'route': ['p2', 'e12', 'i9', 'x5', 'p2', 'c2']}
1769393816.0756958,RECEIVED,acf095d1-59b4-4a85-98ea-18f694f77119,890a7079-7866-46ad-b434-40e3bc0a98ac,c2,c5,27,p2,?,surb={'id': 'eccf389d-1ed3-4951-ac7e-ec6aa93f1cf2', 'route': ['p2', 'e6', 'i3', 'x12', 'p2', 'c2']}
1769393816.4217916,SENT,b3a7e382-9d48-41ad-8c3f-564072e87c82,69ea9a1d-084d-4ec9-b135-fb1b4855981f,c5,c2,3385,?,p2,
1769393816.421927,CREATED,ab4453bf-440b-4e18-93ad-79d2cf6ef67c,c31e82bc-d038-4069-9385-954442a4a177,c5,c2,25,?,?,surb={'id': '12336927-9e09-46af-b1e9-63321a344dc7', 'route': ['p2', 'e8', 'i10', 'x1', 'p2', 'c5']}
1769393816.520132,SENT,486a9790-e3bf-4933-afd7-d4bbe3c12447,1aac701a-0c93-4556-b8de-b1deac71f0c2,c5,c2,3399,?,p2,
1769393816.5202858,CREATED,518cfc14-43ce-4649-8382-0d5c698f5b7c,12e73de5-dca3-4de0-a236-b48997415e61,c5,c2,27,?,?,surb={'id': '3019a1d6-0f40-46b7-a0af-09b784a9ae6e', 'route': ['p2', 'e4', 'i12', 'x3', 'p2', 'c5']}
